Timestamp,What type of music do you usually listen to at different times of the day? [Morning],What type of music do you usually listen to at different times of the day? [Afternoon],What type of music do you usually listen to at different times of the day? [Evening],What type of music do you usually listen to at different times of the day? [Night],What type of music do you prefer based on the weather?  [For Rainy Weather],What type of music do you prefer based on the weather?  [Non-Rainy Weather],What type of music do you prefer based on the temperature?  [When the temperature is high (above 30°C)],What type of music do you prefer based on the temperature?  [When the temperature is low],What type of music do you prefer based on the brightness of your environment?  [In dim light],What type of music do you prefer based on the brightness of your environment?  [In bright light]
05/10/2024 16:24:37,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 16:25:09,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 16:31:51,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 16:49:34,"Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 16:51:11,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 17:19:49,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 17:33:06,"Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)"
05/10/2024 18:19:38,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 18:23:04,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 18:29:19,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)"
05/10/2024 20:21:25,"Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
05/10/2024 20:39:48,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 20:44:03,"Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)"
05/10/2024 21:00:43,"Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Upbeat (Pop, Hip-Hop, Rap, Workout Music, Pop Rock)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Mellow (Ambient, Dream Pop, Downtempo,Indie Folk, Acoustic)","Relaxing (Lo-fi Beats, Chillhop, Classical, Jazz, Acoustic, Ambient)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)","Calm (Chill, R&B, Soul, Soft Rock, Indie Folk, Singer-Songwriter)"
